dobulkedit,doedit,doquickassign,doaction,incident_id,job_id,result_id,alert,host,Alerta,impact,urgency,search,event_search,earliest,latest,display_fields,alert_time,external_reference_id,duplicate_count,earliest_alert_time,first_seen,group,group_id,Empresa,Localidade,Endereco,Solucao,TipoServico,Ticket,Inicio,Fim,owner,status,status_description,Impacto
2e5665de-d9ca-4c68-ab5a-a01acfae6d05, , , ,2e5665de-d9ca-4c68-ab5a-a01acfae6d05,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE1 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
ec0b7f8d-779a-424f-b780-b97935cb54c6, , , ,ec0b7f8d-779a-424f-b780-b97935cb54c6,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
b139c402-cbd8-471f-b5c5-3920fc14d45f, , , ,b139c402-cbd8-471f-b5c5-3920fc14d45f,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link SFP2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
99e8e9f0-e0bc-4978-beae-c26cb50b2e49, , , ,99e8e9f0-e0bc-4978-beae-c26cb50b2e49,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE1 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
6e27464f-c147-4f1c-8a3a-97928e65078e, , , ,6e27464f-c147-4f1c-8a3a-97928e65078e,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
d07652d7-5599-4ec1-868d-586ac9f81a7a, , , ,d07652d7-5599-4ec1-868d-586ac9f81a7a,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link SFP2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
41fb69f3-551d-4aab-ba9d-551425afaf99, , , ,41fb69f3-551d-4aab-ba9d-551425afaf99,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE1 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
15e82235-ce3b-435f-bbed-28f5c4d5fe7e, , , ,15e82235-ce3b-435f-bbed-28f5c4d5fe7e,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link GE2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
29f09614-3075-4361-9b35-4bab174a52a7, , , ,29f09614-3075-4361-9b35-4bab174a52a7,,,OPEN - GENERAL - V3,"202184562
USIM#SDW-VELO-GUARULHOS-GER#00","202184562
USIM#SDW-VELO-GUARULHOS-GER#00 - Link SFP2 entrou em status UNSTABLE",medium,medium,,,,,,1637095806,,,,2021-11-16 17:50:06,,unknown,,N/A, - ,,,Não,2021-11-16 17:50:06,,unassigned,new,Novo,Médio
a7afa9f0-6138-4018-a581-82ed9da6a11d, , , ,a7afa9f0-6138-4018-a581-82ed9da6a11d,,,OPEN - GENERAL - V3,202040658,202040658 - Link GE4 entrou em status UNSTABLE,medium,medium,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,GERDAU AÇOS LONGOS S A,N/A,SC - Criciúma,202040658,SDWAN,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Médio
4d863e51-09dc-4914-aa97-a2d847bd8f1f, , , ,4d863e51-09dc-4914-aa97-a2d847bd8f1f,,,OPEN - GENERAL - V3,202040658,202040658 - Link GE3 entrou em status UNSTABLE,medium,medium,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,GERDAU AÇOS LONGOS S A,N/A,SC - Criciúma,202040658,SDWAN,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Médio
b7aa4835-f9a2-4fce-b87d-952e6d3877a6, , , ,b7aa4835-f9a2-4fce-b87d-952e6d3877a6,,,OPEN - GENERAL - V3,202040668,202040668 - Link GE3 entrou em status UNSTABLE,medium,medium,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,GERDAU AÇOS LONGOS S A,N/A,MG - Montes Claros,202040668,SDWAN,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Médio
da8af101-cb6d-4ace-bf70-6bc64fc6319c, , , ,da8af101-cb6d-4ace-bf70-6bc64fc6319c,,,OPEN - GENERAL - V3,202040668,202040668 - Link GE4 entrou em status UNSTABLE,medium,medium,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,GERDAU AÇOS LONGOS S A,N/A,MG - Montes Claros,202040668,SDWAN,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Médio
ec214e08-a0d6-4ceb-a1bf-4866bf3902ac, , , ,ec214e08-a0d6-4ceb-a1bf-4866bf3902ac,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,202183373,202183373 - Erro de coleta no equipamento ,performance,low,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,,RS - Porto Alegre,202183373,FILIAL,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Performance
3997f099-de45-4f01-ba11-52a3754b20c8, , , ,3997f099-de45-4f01-ba11-52a3754b20c8,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,202183380,202183380 - Erro de coleta no equipamento ,performance,low,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,,AL - Maceió,202183380,FILIAL,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Performance
27c5e525-bc6e-4654-944f-59f5ad192dae, , , ,27c5e525-bc6e-4654-944f-59f5ad192dae,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,202183383,202183383 - Erro de coleta no equipamento ,performance,low,,,,,,1637095805,,,,2021-11-16 17:50:05,,unknown,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,,PA - Belém,202183383,FILIAL,Não,2021-11-16 17:50:05,,unassigned,new,Novo,Performance
7bb92fd8-d3a6-4ed2-a647-5a6edb3b93dc, , , ,7bb92fd8-d3a6-4ed2-a647-5a6edb3b93dc,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,greal-vca-hafw-c,greal-vca-hafw-c - A Latência da interface UOL - lan3 excedeu o valor do 100,performance,low,,,,,,1637095804,,,,2021-11-16 17:50:04,,unknown,REAL MOTO PECAS LTDA,VITORIADACONQUISTA ,BA - Vitória da Conquista,202171319,DADOS,Não,2021-11-16 17:50:04,,unassigned,new,Novo,Performance
74c9b690-2f5d-41b0-8741-fa0a6b4c6143, , , ,74c9b690-2f5d-41b0-8741-fa0a6b4c6143,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,greal-sdr-hafw-c,greal-sdr-hafw-c - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637095803,,,,2021-11-16 17:50:03,,unknown,REAL MOTO PECAS LTDA,SALVADOR ,BA - Salvador,202171310,DADOS,Não,2021-11-16 17:50:03,,unassigned,new,Novo,Performance
e01355da-7921-4f16-8cfd-4400a9093d99, , , ,e01355da-7921-4f16-8cfd-4400a9093d99,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,greal-mtub-hafw-c,greal-mtub-hafw-c - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637095803,,,,2021-11-16 17:50:03,,unknown,REAL MOTO PECAS LTDA,MARITUBA ,PA - Marituba,202171325,DADOS,Não,2021-11-16 17:50:03,,unassigned,new,Novo,Performance
78423354-df0b-4b0f-88e1-064282196887, , , ,78423354-df0b-4b0f-88e1-064282196887,,,OPEN - GENERAL - V3,202058771,202058771 - A perda de pacotes da interface GE3 excedeu o valor de 1%,performance,low,,,,,,1637095281,,,,2021-11-16 17:41:21,,unknown,ICATU SEGUROS S.A,N/A,MT - Cuiabá,202058771,SDWAN,Não,2021-11-16 17:41:21,,unassigned,new,Novo,Performance
0a1772f0-2b70-4088-ac8f-21726d843363, , , ,0a1772f0-2b70-4088-ac8f-21726d843363,,,OPEN - GENERAL - V3,202061987,202061987 - A perda de pacotes da interface GE3 excedeu o valor de 1%,performance,low,,,,,,1637095281,,,,2021-11-16 17:41:21,,unknown,,N/A, - ,,,Não,2021-11-16 17:41:21,,unassigned,new,Novo,Performance
76924679-a2c7-4a10-9fcc-c4cd89fb466f, , , ,76924679-a2c7-4a10-9fcc-c4cd89fb466f,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-srr-fw-004,pacaembu-srr-fw-004 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637095201,,,,2021-11-16 17:40:01,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU SRR ,SP - SAO JOSE DO RIO PRETO,201748895,SEM CONTINGENCIA,Não,2021-11-16 17:40:01,,unassigned,new,Novo,Performance
5f5c8f96-08db-42b2-9b19-57cbff5371f1, , , ,5f5c8f96-08db-42b2-9b19-57cbff5371f1,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-cta-fw-007,pacaembu-cta-fw-007 - Link acusou mais de 70% de utilização de banda,performance,low,,,,,,1637095201,,,,2021-11-16 17:40:01,,unknown,PACAEMBU AUTOPEÇAS LTDA,PACAEMBU CTA ,PR - CURITIBA,201749055,SEM CONTINGENCIA,Não,2021-11-16 17:40:01,,unassigned,new,Novo,Performance
2e614fa1-f8ad-4e66-ab0a-101c5f510abb, , , ,2e614fa1-f8ad-4e66-ab0a-101c5f510abb,,,JOB - ABERTURA ALERTA NO ALERT MANAGER,pacaembu-cpe-fw-017,pacaembu-cpe-fw-017 - A Latência da interface UOL - wan excedeu o valor do 100,performance,low,,,,,,1637094302,,,,2021-11-16 17:25:02,,unknown,PACAEMBU AUTOPEÇAS LTDA.,PACAEMBU CPE ,MS - CAMPO GRANDE,201749034,SEM CONTINGENCIA,Não,2021-11-16 17:25:02,,unassigned,new,Novo,Performance
