Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Gravatá,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173082.0000000,SICR,,PE,,,SICR#SDWVELO-PAC_GRAVATA#00,,SDWAN - VELOCLOUD,202165409,VELOCLOUD,FLEX,SDWAN
Ilhéus,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173084.0000000,SICR,,BA,,,SICR#SDWVELO-PAC_ILHEUS#00,,SDWAN - VELOCLOUD,202165411,VELOCLOUD,FLEX,SDWAN
Itabuna,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173085.0000000,SICR,,BA,,,SICR#SDW-VELO-UC_SUL_BAHIA_SEDE#00,,SDWAN - VELOCLOUD,202165412,VELOCLOUD,FLEX,SDWAN
Jaboatão dos Guararapes,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173086.0000000,SICR,,PE,,,SICR#SDW-VELO-SIC_PERNAMBUCRED#00,,SDWAN - VELOCLOUD,202165413,VELOCLOUD,FLEX,SDWAN
Jaboatão dos Guararapes,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173087.0000000,SICR,,PE,,,SICR#SDW-VELO-UA_SHOPP_GUARARAPES#00,,SDWAN - VELOCLOUD,202165414,VELOCLOUD,FLEX,SDWAN
Jequié,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173088.0000000,SICR,,BA,,,SICR#SDW-VELO-PAC_JEQUIE#00,,SDWAN - VELOCLOUD,202165415,VELOCLOUD,FLEX,SDWAN
Juazeiro do Norte,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173114.0000000,SICR,,CE,,,SICR#SDW-VELO-UC_CARIRI_SEDE#00,,SDWAN - VELOCLOUD,202165416,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173089.0000000,SICR,,PB,,,SICR#SDW-VELO-PAC_FORUM_UC_JOAOPESSOA#00,,SDWAN - VELOCLOUD,202165417,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173090.0000000,SICR,,PB,,,SICR#SDW-VELO-UC_JOAO_PESSOA_SEDE#00,,SDWAN - VELOCLOUD,202165418,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173091.0000000,SICR,,PB,,,SICR#SDW-VELO-PAC_HOSP_UNIMED_JP#00,,SDWAN - VELOCLOUD,202165419,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173092.0000000,SICR,,PB,,,SICR#SDW-VELO-PAC_JP_UC_CREDUNI#00,,SDWAN - VELOCLOUD,202165420,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173094.0000000,SICR,,PB,,,SICR#SDW-VELO-PAC_MANGABEIRA#00,,SDWAN - VELOCLOUD,202165422,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173095.0000000,SICR,,PB,,,SICR#SDW-VELO-PA_ALTIPLANO#00,,SDWAN - VELOCLOUD,202165423,VELOCLOUD,FLEX,SDWAN
João Pessoa,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173096.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_EPITACIO_PESSOA#00,,SDWAN - VELOCLOUD,202165424,VELOCLOUD,FLEX,SDWAN
