Cidade,Cliente,ClienteId,CodigoPrimesys,Description,Estado,Location,Operadora,PrimeId,SerialName,Servico,Solucao,Tecnologia,TipoNegocio,TipoServico
Campina Grande,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173293.0000000,SICR,,PB,,,SICR#SDW-VELO-UA_CENTROPB_SIC_EVOL#00,,SDWAN - VELOCLOUD,202165648,VELOCLOUD,FLEX,SDWAN
Caicó,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173294.0000000,SICR,,RN,,,SICR#SDWVELO-PAC_CAICO#00,,SDWAN - VELOCLOUD,202165649,VELOCLOUD,FLEX,SDWAN
Cajazeiras,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173301.0000000,SICR,,PB,,,SICR#SDW-VELO-UC_CAJAZEIRAS#00,,SDWAN - VELOCLOUD,202165650,VELOCLOUD,FLEX,SDWAN
Floriano,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173270.0000000,SICR,,PI,,,SICR#SDWVELO-PAC_FLORIANO#00,,SDWAN - VELOCLOUD,202165651,VELOCLOUD,FLEX,SDWAN
Olinda,COOPERATIVA CENTRAL DE CREDITO DO NORTE NORDESTE CENTRA,173317.0000000,VELOCLOUD,,PE,,,SICR#SDW-VELO-PAC_OLINDA#00,,SDWAN - VELOCLOUD,202165669,VELOCLOUD,FLEX,SDWAN
Rio de Janeiro,SERIMAX DO BRASIL SERVICOS DE SOLDAGEM E FABRICACAO LTDA,173503.0000000,TRE,,RJ,,,VALLO#SDW-VELO-VALLOUREC-SERIMAX#00,,SDWAN - VELOCLOUD,202167303,VELOCLOUD,SDWAN,SDWAN
Guarulhos,INCOTEP IND E COM DE TUBOS ESPECIAIS DE PRECISÃO LTDA,173563.0000000,VELOCLOUD,,SP,,,VLLC#SDW-VELO-GUARULHOS-GER#01,,SDWAN - VELOCLOUD,202168682,VELOCLOUD,FLEX,SDWAN
São Bernardo do Campo,BRAZUL TRANSPORTE DE VEICULOS LTDA,173700.0000000,VELOCLOUD,,SP,,,SADA#SDW-VELO-SBC#00,,SDWAN - VELOCLOUD,202170840,VELOCLOUD,FLEX,SDWAN
Uberlândia,REAL MOTO PECAS LTDA,174008.0000000,REAL,greal-ula-hafw-c,MG,UBERLANDIA | 202171306,,REAL#SDE-FORT-MTZ-UBERLANDIA-GER#00,greal-ula-hafw-c,GRC,202171306,FORTINET,DADOS,DADOS
Rio de Janeiro,REAL MOTO PECAS LTDA,174009.0000000,REAL,greal-rjo-hafw-c,RJ,RIODEJANEIRO | 202171307,,REAL#SDE-FORT-RJO-GER#00,greal-rjo-hafw-c,GRC,202171307,FORTINET,DADOS,DADOS
São Paulo,REAL MOTO PECAS LTDA,174010.0000000,REAL,greal-spo-hafw-c,SP,SAOPAULO | 202171308,,REAL#SDE-FORT-SPO-GER#00,greal-spo-hafw-c,GRC,202171308,FORTINET,DADOS,DADOS
Belo Horizonte,REAL MOTO PECAS LTDA,174011.0000000,REAL,greal-bhe-hafw-c,MG,BELOHORIZONTE | 202171309,,REAL#SDE-FORT-BHE-GER#00,greal-bhe-hafw-c,GRC,202171309,FORTINET,DADOS,DADOS
Salvador,REAL MOTO PECAS LTDA,174012.0000000,REAL,greal-sdr-hafw-c,BA,SALVADOR | 202171310,,REAL#SDE-FORT-SALVADOR-GER#00,greal-sdr-hafw-c,GRC,202171310,FORTINET,DADOS,DADOS
Cariacica,REAL MOTO PECAS LTDA,174013.0000000,REAL,greal-cca-hafw-c,ES,VITORIA | 202171311,,REAL#SDE-FORT-VITORIA-GER#00,greal-cca-hafw-c,GRC,202171311,FORTINET,DADOS,DADOS
Jaboatão dos Guararapes,REAL MOTO PECAS LTDA,174014.0000000,REAL,greal-rce-hafw-c,PE,RECIFE | 202171312,,REAL#SDE-FORT-RECIFE-GER#00,greal-rce-hafw-c,GRC,202171312,FORTINET,DADOS,DADOS
Goiânia,REAL MOTO PECAS LTDA,174015.0000000,REAL,greal-gna-hafw-c,GO,GOIANIA | 202171313,,REAL#SDE-FORT-GOIANIA-GER#00,greal-gna-hafw-c,GRC,202171313,FORTINET,DADOS,DADOS
Campinas,REAL MOTO PECAS LTDA,174017.0000000,REAL,greal-cas-hafw-c,SP,CAMPINAS | 202171315,,REAL#SDE-FORT-CAMPINAS-GER#00,greal-cas-hafw-c,GRC,202171315,FORTINET,DADOS,DADOS
Curitiba,REAL MOTO PECAS LTDA,174018.0000000,REAL,greal-cta-hafw-c,PR,CURITIBA | 202171316,,REAL#SDE-FORT-CURITIBA-GER#00,greal-cta-hafw-c,GRC,202171316,FORTINET,DADOS,DADOS
Brasília,REAL MOTO PECAS LTDA,174019.0000000,REAL,greal-bsa-hafw-c,DF,BRASILIA | 202171317,,REAL#SDE-FORT-BRASILIA-GER#00,greal-bsa-hafw-c,GRC,202171317,FORTINET,DADOS,DADOS
Fortaleza,REAL MOTO PECAS LTDA,174020.0000000,REAL,greal-fla-hafw-c,CE,FORTALEZA | 202171318,,REAL#SDE-FORT-FORTALEZA-GER#00,greal-fla-hafw-c,GRC,202171318,FORTINET,DADOS,DADOS
Vitória da Conquista,REAL MOTO PECAS LTDA,174021.0000000,REAL,greal-vca-hafw-c,BA,VITORIADACONQUISTA | 202171319,,REAL#SDE-FORT-VITORIA_CONQ-GER#00,greal-vca-hafw-c,GRC,202171319,FORTINET,DADOS,DADOS
Ribeirão Preto,REAL MOTO PECAS LTDA,174022.0000000,REAL,greal-rpo-hafw-c,SP,RIBEIRAOPRETO | 202171320,,REAL#SDE-FORT-RIBEIRAO_PRETO-GER#00,greal-rpo-hafw-c,GRC,202171320,FORTINET,DADOS,DADOS
São Bernardo do Campo,REAL MOTO PECAS LTDA,174023.0000000,REAL,greal-sbo-hafw-c,SP,SAOBERNARDO | 202171321,,REAL#SDE-FORT-ABC-GER#00,greal-sbo-hafw-c,GRC,202171321,FORTINET,DADOS,DADOS
Marituba,REAL MOTO PECAS LTDA,174029.0000000,REAL,greal-mtub-hafw-c,PA,MARITUBA | 202171325,,REAL#SDE-FORT-BELEM-GER#00,greal-mtub-hafw-c,GRC,202171325,FORTINET,DADOS,DADOS
Cuiabá,REAL MOTO PECAS LTDA,174025.0000000,REAL,greal-cba-hafw-c,MT,CUIABA | 202171326,,REAL#SDE-FORT-CUIABA-GER#00,greal-cba-hafw-c,GRC,202171326,FORTINET,DADOS,DADOS
Parnamirim,REAL MOTO PECAS LTDA,174026.0000000,REAL,greal-pwm-hafw-c,RN,NATAL | 202171327,,REAL#SDE-FORT-NATAL-GER#00,greal-pwm-hafw-c,GRC,202171327,FORTINET,DADOS,DADOS
Itajaí,BRF S A,174141.0000000,BRF,brf-iai-hafw-c,SC,BRF MERCADO IAI | 202173982,,BRF#SDE-FORT-MERC_ITAJAI#00,brf-iai-hafw-c,SDE,202173982,FORTINET,LOJA,SDE
Indaiatuba,TEGMA GESTAO LOGISTICA S A,174294.0000000,TGMA,tegma-idu-unl-fw-1,SP,IDU-UNILEVER | 202174602,,TGMA#SDE-FORT-UNILEVER_INDAIATUBA#00,tegma-idu-unl-fw-1,SDE,202174602,FORTINET,SDWAN,SDE
Itapevi,TEGMA GESTAO LOGISTICA S A,174296.0000000,TGMA,tegma-itapevi-fw-1,SP,ITAPEVI | 202174603,,TGMA#SDE-FORT-ITAPEVI#00,tegma-itapevi-fw-1,SDE,202174603,FORTINET,SDWAN,SDE
São Bernardo do Campo,TEGMA GESTAO LOGISTICA S A,174297.0000000,TGMA,tegma-sbo-mro-fw-1,SP,MIRO | 202174604,,TGMA#SDE-FORT-MIRO_SBCAMP#00,tegma-sbo-mro-fw-1,SDE,202174604,FORTINET,SDWAN,SDE
São Bernardo do Campo,TEGMA GESTAO LOGISTICA S A,174298.0000000,TGMA,tegma-sbo-ncl-fw-1,SP,NICOLA | 202174605,,TGMA#SDE-FORT-NICOLA_SBCAMP#00,tegma-sbo-ncl-fw-1,SDE,202174605,FORTINET,SDWAN,SDE
São Francisco do Conde,SADA COMBUSTIVEIS LTDA,174998.0000000,SADA,,BA,,,SADA#SDW-VELO-SAO_FRANCISCO_CONDE#00,,SDWAN - VELOCLOUD,202175687,VELOCLOUD,SDWAN,SDWAN
São Bernardo do Campo,TEGMA GESTAO LOGISTICA S A,176190.0000000,TGMA,tegma-sbo-cop-fw-1,SP,COPERATIVA | 202176868,,TGMA#SDE-FORT-COOPERATIVA#00,tegma-sbo-cop-fw-1,SDE,202176868,FORTINET,SDWAN,SDE
João Pessoa,ICATU SEGUROS S.A,171677.0000000,ICATU,,PB,,,ICAT#SDW-VELO-JOAO_PESSOA-GER#00,,SDWAN - VELOCLOUD,202177774,VELOCLOUD,FLEX,SDWAN
Porto Alegre,PLAENGE EMPREENDIMENTOS LTDA,177972.0000000,PLNG,,RS,,,PLAE#SDW-VELO-PORTO-ALEGRE-GER#00,,SDWAN - VELOCLOUD,202178786,VELOCLOUD,FLEX,SDWAN
Barão de Cocais,Tribunal da Justiça do Estado de Minas Gerais,179188.0000000,TJMG,,MG,,,TJMG#SDW-VELO-BARAO_COCAIS#00,,SDWAN - VELOCLOUD,202181211,VELOCLOUD,SDWAN,SDWAN
Buenópolis,Tribunal da Justiça do Estado de Minas Gerais,179192.0000000,TJMG,,MG,,,TJMG#SDW-VELO-BUENOPOLIS#00,,SDWAN - VELOCLOUD,202181215,VELOCLOUD,SDWAN,SDWAN
Corinto,Tribunal da Justiça do Estado de Minas Gerais,179202.0000000,TJMG,,MG,,,TJMG#SDW-VELO-CORINTO#00,,SDWAN - VELOCLOUD,202181227,VELOCLOUD,SDWAN,SDWAN
Dores do Indaiá,Tribunal da Justiça do Estado de Minas Gerais,179204.0000000,TJMG,,MG,,,TJMG#SDW-VELO-DORES_INDAIA#00,,SDWAN - VELOCLOUD,202181230,VELOCLOUD,SDWAN,SDWAN
Ferros,Tribunal da Justiça do Estado de Minas Gerais,179206.0000000,TJMG,,MG,,,TJMG#SDW-VELO-FERROS#00,,SDWAN - VELOCLOUD,202181232,VELOCLOUD,SDWAN,SDWAN
Martinho Campos,Tribunal da Justiça do Estado de Minas Gerais,179226.0000000,TJMG,,MG,,,TJMG#SDW-VELO-MARTINHO_CAMPOS#00,,SDWAN - VELOCLOUD,202181252,VELOCLOUD,SDWAN,SDWAN
Matias Barbosa,Tribunal da Justiça do Estado de Minas Gerais,179227.0000000,TJMG,,MG,,,TJMG#SDW-VELO-MATIAS_BARBOSA#00,,SDWAN - VELOCLOUD,202181253,VELOCLOUD,SDWAN,SDWAN
Morada Nova de Minas,Tribunal da Justiça do Estado de Minas Gerais,179232.0000000,TJMG,,MG,,,TJMG#SDW-VELO-MORADA_NOVA_MINAS#00,,SDWAN - VELOCLOUD,202181259,VELOCLOUD,SDWAN,SDWAN
Belo Horizonte,DEVA VEÍCULOS LTDA,179448.0000000,VELOCLOUD,,MG,,,SADA#SDW-VELO-DEVA-BHE-GER#00,,SDWAN - VELOCLOUD,202181995,VELOCLOUD,SDWAN,SDWAN
Volta Redonda,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179466.0000000,PGE,PR05-VOLTA_REDONDA,RJ,PR05-VOLTA_REDONDA_VRD/IP/03801 | 202182014,,PGE#SDE-FORT-PR05-VOLTA_REDONDA-GER#00,PR05-VOLTA_REDONDA,SDE,202182014,FORTINET,ABORDAGEM SIMPLES,FILIAL
Angra dos Reis,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179467.0000000,PGE,PR06-ANGRA_DOS_REIS,RJ,PR06-ANGRA_DOS_REIS_ARS/IP/01094 | 202182015,,PGE#SDE-FORT-PR06-ANGRA_REIS-GER#00,PR06-ANGRA_DOS_REIS,SDE,202182015,FORTINET,ABORDAGEM SIMPLES,FILIAL
Petrópolis,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179468.0000000,PGE,PR07-PETROPOLIS,RJ,PETROPOLIS_PTS/IP/04431 | 202182016,,PGE#SDE-FORT-PR07-PETROPOLIS-GER#00,PR07-PETROPOLIS,SDE,202182016,FORTINET,ABORDAGEM SIMPLES,FILIAL
Nova Friburgo,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179469.0000000,PGE,PR08-NOVA_FRIBURGO,RJ,PR08-NOVA_FRIBURGO_NOF/IP/05422 | 202182017,,PGE#SDE-FORT-PR08-NOVA_FRIBURGO-GER#00,PR08-NOVA_FRIBURGO,SDE,202182017,FORTINET,ABORDAGEM SIMPLES,FILIAL
Macaé,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179470.0000000,PGE,PR09-MACAE,RJ,PR09-MACAE_MCE/IP/03625 | 202182018,,PGE#SDE-FORT-PR09-MACAE-GER#00,PR09-MACAE,SDE,202182018,FORTINET,ABORDAGEM SIMPLES,FILIAL
Campos dos Goytacazes,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179471.0000000,PGE,PR10-CAMPOS,RJ,PR10-CAMPOS_CPS/IP/04984 | 202182019,,PGE#SDE-FORT-PR10-CAMPOS-GER#00,PR10-CAMPOS,SDE,202182019,FORTINET,ABORDAGEM SIMPLES,FILIAL
Itaperuna,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179472.0000000,PGE,PR11-ITAPERUNA,RJ,PR11-ITAPERUNA_IRA/IP/00792 | 202182020,,PGE#SDE-FORT-PR11-ITAPERUNA-GER#00,PR11-ITAPERUNA,SDE,202182020,FORTINET,ABORDAGEM SIMPLES,FILIAL
Cabo Frio,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179473.0000000,PGE,PR12-CABO_FRIO,RJ,PR12-CABO_FRIO_CBF/IP/04614 | 202182021,,PGE#SDE-FORT-PR12-CABO_FRIO-GER#00,PR12-CABO_FRIO,SDE,202182021,FORTINET,ABORDAGEM SIMPLES,FILIAL
São Gonçalo,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179474.0000000,PGE,PR13-SAO_GONCALO,RJ,PR13-SAO_GONCALO_SGO/IP/13551 | 202182022,,PGE#SDE-FORT-PR13-SAO_GONCALO-GER#00,PR13-SAO_GONCALO,SDE,202182022,FORTINET,ABORDAGEM SIMPLES,FILIAL
Brasília,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179475.0000000,PGE,,DF,,,PGE#SDE-FORT-PG13-BRASILIA-GER#00,,SDE,202182023,FORTINET,ABORDAGEM SIMPLES,FILIAL
Rio de Janeiro,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179461.0000000,PGE,RJO-SEDE,RJ,RJO-SEDE_RJO/IP/34386 | 202182025,,PGE#SDE-FORT-SEDE-GER#00,RJO-SEDE,SDE,202182025,FORTINET,ABORDAGEM SIMPLES,SEDE
Niterói,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179462.0000000,PGE,PR01-NITEROI,RJ,-NITEROI_NRI/IP/06217 | 202182026,,PGE#SDE-FORT-PR01-NITEROI-GER#00,PR01-NITEROI,SDE,202182026,FORTINET,ABORDAGEM SIMPLES,FILIAL
Duque de Caxias,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179463.0000000,PGE,PR02-DUQUE_DE_CAXIAS,RJ,DUQUE_DE_CAXIAS_DQX/IP/12092 | 202182027,,PGE#SDE-FORT-PR02-DQ_CXS-GER#00,PR02-DUQUE_DE_CAXIAS,SDE,202182027,FORTINET,ABORDAGEM SIMPLES,FILIAL
Nova Iguaçu,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179464.0000000,PGE,PR03-NOVA_IGUACU,RJ,NOVA_IGUACU_NIU/IP/09498 | 202182028,,PGE#SDE-FORT-PR03-NOVA_IGUACU-GER#00,PR03-NOVA_IGUACU,SDE,202182028,FORTINET,ABORDAGEM SIMPLES,FILIAL
Barra do Piraí,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179465.0000000,PGE,PR04-BARRA_DO_PIRAI,RJ,BARRA_DO_PIRAI_BPI/IP/00338 | 202182029,,PGE#SDE-FORT-PR04-BARRA_PIREI-GER#00,PR04-BARRA_DO_PIRAI,SDE,202182029,FORTINET,ABORDAGEM SIMPLES,FILIAL
Rio de Janeiro,SERIMAX DO BRASIL SERVICOS DE SOLDAGEM E FABRICACAO LTDA,179671.0000000,TRE,,RJ,,,VALLO#SDW-VELO-VALLOUREC-SERIMAX-GER#00,,SDWAN - VELOCLOUD,202183111,VELOCLOUD,SDWAN,SDWAN
Brasília,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179827.0000000,PSDE,RT_SEDE01,DF,BRASILIA_BSA/IP/27743 | 202183357,,PSDE#SDE-FORT-BRASILIA-GER#00,RT_SEDE01,SDE,202183357,FORTINET,DUPLA ABORDAGEM,SEDE
São Luís,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179830.0000000,PSDE,RT_REG-MA01,MA,SAO_LUIS_MA/IP/05925 | 202183360,,PSDE#SDE-FORT-SAO-LUIS-GER#00,RT_REG-MA01,SDE,202183360,FORTINET,DUPLA ABORDAGEM,FILIAL
Recife,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179836.0000000,PSDE,,PE,,,PSDE#SDE-FORT-RECIFE-GER#00,,SDE,202183366,FORTINET,DUPLA ABORDAGEM,FILIAL
Teresina,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179837.0000000,PSDE,,PI,,,PSDE#SDE-FORT-TERESINA-GER#00,,SDE,202183367,FORTINET,DUPLA ABORDAGEM,FILIAL
Porto Alegre,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179843.0000000,PSDE,,RS,,,PSDE#SDE-FORT-PAE-CENTRO-HIST-GER#00,,SDE,202183373,FORTINET,DUPLA ABORDAGEM,FILIAL
Brasília,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179849.0000000,PSDE,RT_REG-AL01,DF,MACEIO_AL_MCO/IP/10506,,PSDE#SDE-FORT-MACEIO-ASA-NORTE-GER#00,RT_REG-AL01,SDE,202183379,FORTINET,DUPLA ABORDAGEM,FILIAL
Maceió,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179850.0000000,PSDE,,AL,,,PSDE#SDE-FORT-FORTALEZA-FAROL-GER#00,,SDE,202183380,FORTINET,DUPLA ABORDAGEM,FILIAL
Belém,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179853.0000000,PSDE,,PA,,,PSDE#SDE-FORT-JOAO-PESSOA-CAMPINA-GER#00,,SDE,202183383,FORTINET,DUPLA ABORDAGEM,FILIAL
Salvador,POSTAL SAUDE - CAIXA DE ASSISTENCIA E SAUDE DOS EMPREGADOS DOS CORREIOS,179825.0000000,PSDE,RT_REG-BA01,BA,SALVADOR_BA_SDR/IP/32192 | 202183400,,PSDE#SDE-FORT-SALVADOR-GER#00,RT_REG-BA01,SDE,202183400,FORTINET,DUPLA ABORDAGEM,FILIAL
São Paulo,BRF S A,180056.0000000,BRF,brf-lapa-dr-fw-1,SP,BRF DR | 202183665,,BRF#SDE-FORT-DC-LAPA#00,brf-lapa-dr-fw-1,BSN,202183665,FORTINET,DATA CENTER,SDE
Itatiaiuçu,MINERACAO USIMINAS S.A.,180069.0000000,SDWAN-TRYBUY,,MG,,,USMI#SDW-VELO-ITATIAIUCU-GER#00,,SDWAN,202183675,VELOCLOUD,FLEX,SDWAN
Itatiaiuçu,MINERACAO USIMINAS S.A.,180073.0000000,USIM,,MG,,,USIM#SDW-VELO-ITATIAIUCU#00,,SDWAN - VELOCLOUD,202183678,VELOCLOUD,FLEX,SDWAN
Cabo de Santo Agostinho,AMERICANAS S.A,180228.0000000,B2W,,PE,,,B2W#SDW-VELO-CD-RECIFE#00,,SDWAN - VELOCLOUD,202183810,VELOCLOUD,FLEX,SDWAN
Simões Filho,AMERICANAS S.A,180230.0000000,B2W,,BA,,,B2W#SDW-VELO-CD-SALVADOR#00,,SDWAN - VELOCLOUD,202183812,VELOCLOUD,FLEX,SDWAN
Uberlândia,AMERICANAS S.A,180232.0000000,B2W,,MG,,,B2W#SDW-VELO-CD-UBERLANDIA#00,,SDWAN - VELOCLOUD,202183814,VELOCLOUD,FLEX,SDWAN
São Paulo,B2W COMPANHIA DIGITAL,180234.0000000,B2W,,SP,,,B2W#SDW-VELO-DC-GLETE-UOL#00,,SDWAN - VELOCLOUD,202183816,VELOCLOUD,FLEX,SDWAN
Benevides,AMERICANAS S.A,180219.0000000,B2W,,PA,,,B2W#SDW-VELO-CD-BELEMI#00,,SDWAN - VELOCLOUD,202183822,VELOCLOUD,FLEX,SDWAN
Maracanaú,AMERICANAS S.A,180225.0000000,B2W,,CE,,,B2W#SDW-VELO-CD-FORTALEZA#00,,SDWAN - VELOCLOUD,202183828,VELOCLOUD,FLEX,SDWAN
Manaus,GERDAU AÇOS LONGOS SA,180265.0000000,ABBR,,AM,,,GERD#SDW-VELO-METALICOS-MANAUS#00,,SDWAN - VELOCLOUD,202183874,VELOCLOUD,FLEX,SDWAN
Guarulhos,SOLUÇÕES EM AÇO USIMINAS S/A,180425.0000000,USIM,,SP,,,USIM#SDW-VELO-GUARULHOS#00,,SDWAN - VELOCLOUD,202184561,VELOCLOUD,FLEX,SDWAN
São Paulo,ICATU SEGUROS S.A,180688.0000000,ICATU,,SP,,,ICAT#SDW-VELO-PAULISTA#00,,SDWAN - VELOCLOUD,202185145,VELOCLOUD,DUPLA ABORDAGEM,SDWAN
Patos de Minas,DEVA VEÍCULOS LTDA,181380.0000000,VELOCLOUD,,MG,,,SADA#SDW-VELO-MACHADO-PATOS-MINAS#00,,SDWAN - VELOCLOUD,202186167,VELOCLOUD,FLEX,SDWAN
Olímpia,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182302.0000000,TR,,SP,,,TERE#SDW-VELO-CRUZALTA-GER#00,,SDWAN - VELOCLOUD,202187083,VELOCLOUD,SDWAN,SDWAN
São José do Rio Preto,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182303.0000000,TR,,SP,,,TERE#SDW-VELO-BSC-GER#00,,SDWAN - VELOCLOUD,202187084,VELOCLOUD,SDWAN,SDWAN
Colina,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182304.0000000,TR,,SP,,,TERE#SDW-VELO-SAOJOSE-GER#00,,SDWAN - VELOCLOUD,202187085,VELOCLOUD,SDWAN,SDWAN
Guaíra,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182305.0000000,TR,,SP,,,TERE#SDW-VELO-MANDU-GER#00,,SDWAN - VELOCLOUD,202187086,VELOCLOUD,SDWAN,SDWAN
Guaraci,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182306.0000000,TR,,SP,,,TERE#SDW-VELO-VERTENTE-GER#00,,SDWAN - VELOCLOUD,202187087,VELOCLOUD,SDWAN,SDWAN
Palmital,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182307.0000000,TR,,SP,,,TERE#SDW-VELO-TSSB-GER#00,,SDWAN - VELOCLOUD,202187088,VELOCLOUD,SDWAN,SDWAN
Pitangueiras,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182308.0000000,TR,,SP,,,TERE#SDW-VELO-ANDRADE-GER#00,,SDWAN - VELOCLOUD,202187089,VELOCLOUD,SDWAN,SDWAN
Rio de Janeiro,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182309.0000000,TR,,RJ,,,TERE#SDW-VELO-CDRJ-GER#00,,SDWAN - VELOCLOUD,202187090,VELOCLOUD,SDWAN,SDWAN
São Paulo,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182314.0000000,TR,,SP,,,TERE#SDW-VELO-ESCSPO-GER#00,,SDWAN - VELOCLOUD,202187091,VELOCLOUD,SDWAN,SDWAN
Severínia,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182310.0000000,TR,,SP,,,TERE#SDW-VELO-SEVERINIA-GER#00,,SDWAN - VELOCLOUD,202187092,VELOCLOUD,SDWAN,SDWAN
Tanabi,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182311.0000000,TR,,SP,,,TERE#SDW-VELO-TANABI-GER#00,,SDWAN - VELOCLOUD,202187093,VELOCLOUD,SDWAN,SDWAN
São José do Rio Preto,TEREOS ACUCAR E ENERGIA BRASIL S.A.,182312.0000000,TR,,SP,,,TERE#SDW-VELO-CFTV-GER#00,,SDWAN - VELOCLOUD,202187094,VELOCLOUD,SDWAN,SDWAN
São Paulo,GERDAU AÇOS LONGOS SA,182578.0000000,GERD,,SP,,,GERD#SDW-VELO-SPO#00,,SDWAN - VELOCLOUD,202187680,VELOCLOUD,FLEX,SDWAN
Rio de Janeiro,PARKJACAREPAGUA EMPREENDIMENTO IMOBILIARIO LTDA,182725.0000000,MULT,,RJ,,,MULT#SDW-VELO-PARKJACAREPAGUA#00,,SDWAN - VELOCLOUD,202188378,VELOCLOUD,LOJA,SDWAN
Betim,B2W COMPANHIA DIGITAL,183131.0000000,B2W,,MG,,,B2W#SDW-VELO-CD-BETIM-MG#00,,SDWAN - VELOCLOUD,202190175,VELOCLOUD,FLEX,SDWAN
Resende,B2W COMPANHIA DIGITAL,183133.0000000,B2W,,RJ,,,B2W#SDW-VELO-CD-RESENDE#00,,SDWAN - VELOCLOUD,202190176,VELOCLOUD,FLEX,SDWAN
São Paulo,B2W COMPANHIA DIGITAL,183139.0000000,B2W,,SP,,,B2W#SDW-VELO-OFFICE-LIQ-FLEX#00,,SDWAN - VELOCLOUD,202190178,VELOCLOUD,FLEX,SDWAN
Osasco,AMERICANAS S.A,184040.0000000,B2W,,SP,,,B2W#SDW-VELO-CD-TAMBORE#00,,SDWAN - VELOCLOUD,202191918,VELOCLOUD,FLEX,SDWAN
Porto Alegre,ICATU SEGUROS S.A.,184103.0000000,ICATU,,RS,,,ICAT#SDW-VELO-PORTO_ALEGRE#00,,SDWAN - VELOCLOUD,202191967,VELOCLOUD,ABORDAGEM SIMPLES,SDWAN
Rio de Janeiro,FUNDO ESPECIAL DA PROCURADORIA GERAL DO ESTADO DO RIO DE JANEIRO,179461.0000000,PGE,RJO-SEDE,RJ,RJO-SEDE_RJO/IP/34386 | 202182025,,PGE#SDE-FORT-SEDE-GER#00,FG100ETK20012309,SDE,202182025,,ABORDAGEM SIMPLES,SEDE
Uberlândia,REAL MOTO PECAS LTDA,174008.0000000,REAL,greal-ula-hafw-c,MG,UBERLANDIA | 202171306,,REAL#SDE-FORT-MTZ-UBERLANDIA-GER#00,FG100FTK20002239,GRC,202171306,,DADOS,DADOS
São Paulo,BRF S A,180056.0000000,BRF,brf-lapa-dr-fw-1,SP,BRF DR | 202183665,,BRF#SDE-FORT-DC-LAPA#00,FG100FTK20011714,BSN,202183665,,DATA CENTER,SDE
