"_key",templateName,thresholdDuration,thresholdIndex,thresholdMessage,thresholdMetric,thresholdSeverityCode,thresholdType,thresholdValue
60ca2690b24da969131307d6,"Template FORTINET",10,"vpn-013-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307d7,"Template FORTINET",10,"vpn-013-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307d8,"Template FORTINET",10,"vpn-013-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307d9,"Template FORTINET",10,"vpn-013-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307da,"Template FORTINET",10,"vpn-019-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307db,"Template FORTINET",10,"vpn-019-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307dc,"Template FORTINET",10,"vpn-019-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307dd,"Template FORTINET",10,"vpn-019-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307de,"Template FORTINET",10,"vpn-019-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307df,"Template FORTINET",10,"vpn-019-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e0,"Template FORTINET",10,"vpn-023-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e1,"Template FORTINET",10,"vpn-023-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e2,"Template FORTINET",10,"vpn-023-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e3,"Template FORTINET",10,"vpn-023-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e4,"Template FORTINET",10,"vpn-023-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e5,"Template FORTINET",10,"vpn-023-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2690b24da969131307e6,"Template FORTINET",10,"vpn-031-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307e7,"Template FORTINET",10,"vpn-031-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307e8,"Template FORTINET",10,"vpn-031-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307e9,"Template FORTINET",10,"vpn-031-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307ea,"Template FORTINET",10,"vpn-031-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307eb,"Template FORTINET",10,"vpn-031-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307ec,"Template FORTINET",10,"vpn-030-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307ed,"Template FORTINET",10,"vpn-030-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307ee,"Template FORTINET",10,"vpn-030-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307ef,"Template FORTINET",10,"vpn-030-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f0,"Template FORTINET",10,"vpn-030-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f1,"Template FORTINET",10,"vpn-030-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f2,"Template FORTINET",10,"vpn-028-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f3,"Template FORTINET",10,"vpn-028-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f4,"Template FORTINET",10,"vpn-028-w2-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f5,"Template FORTINET",10,"vpn-028-w1-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2691b24da969131307f6,"Template FORTINET",10,"vpn-028-w1-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307f7,"Template FORTINET",10,"vpn-028-w1-w1","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307f8,"Template FORTINET",10,"vpn-029-w2-w3","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
60ca2692b24da969131307f9,"Template FORTINET",10,"vpn-029-w2-w2","Quantidade de sessões na interface %thresholdIndex% excedeu o valor de %thresholdValue%",session,1,">",50
